ID,SMILES,IC50,pIC50
CHEMBL362710,Nc1sc(c(n1)c1nccs1)c1ccnc2c1cccc2,1170,5.932
CHEMBL1766441,N#Cc1cccc(c1)NC(=O)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1cccc(n1)C,22,7.658
CHEMBL1765757,Nc1nc(cc(n1)c1ccc2c(c1)[nH]nc2N)C(C)C,1995.26,5.7
CHEMBL1614771,CCNc1nc(N)nc(c1)c1ccc2c(c1)n[nH]c2N,501.19,6.3
CHEMBL205260,Cc1cccc(c1)c1nccc(c1)c1c[nH]nc1c1ccccn1,191,6.719
CHEMBL341280,Brc1cccc(n1)c1[nH]ncc1c1ccnc2c1cccc2,31,7.509
CHEMBL1766453,Cc1cccc(n1)c1nn(cc1c1ccc2c(c1)cccn2)CC(=S)Nc1ccccc1,94,7.027
CHEMBL267228,OCc1ccc(cc1)c1[nH]c(c(n1)c1ccccn1)c1ccc2c(c1)OCO2,260,6.585
CHEMBL126180,c1ccc(nc1)c1nn(cc1c1ccnc2c1cccc2)Cc1ccccc1,369,6.433
CHEMBL266706,Fc1ccc(cc1)c1c(nc2n1CCS2)c1ccccn1,1600,5.796
CHEMBL566254,Fc1ccc(cc1)C1N=C(NC1c1ccncc1)c1ccc(cc1)S(=O)C,6000,5.222
CHEMBL1272022,O=C1Nc2c(/C/1=C(\c1ccccc1)/Nc1ccc(cc1)CN1CCCCC1)ccc(c2)C(=O)NCc1ccccc1,1532,5.815
CHEMBL1272127,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(S(=O)(=O)C)C)C,231,6.636
CHEMBL1765877,Nc1nc(cc(n1)c1ccc2c(c1)[nH]nc2N)N(C)C,5011.87,5.3
CHEMBL204575,ClCCOc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,19,7.721
CHEMBL380916,O=C(c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1)N1CCCC1,110,6.959
CHEMBL203791,CCN(CCCn1cnc2c1cc(cc2)c1c2CCCn2nc1c1cccc(n1)C)CC,122,6.914
