ID,SaaNH,n9FaHRing,naHRing,JGI5,MATS1c,n9FHRing,PEOE_VSA1,NsOH,Xch-6d,AATSC3i
CHEMBL1829505,2.9199957480000003,0,4,0.015981481000000002,-0.32068769,0,0.0,0,0.404811503,-0.051467368
CHEMBL2088214,0.0,1,4,0.018094315,-0.517898,1,5.316788604,0,0.565235256,-0.059989075
CHEMBL2087972,0.0,1,4,0.017202381,-0.527905107,1,5.316788604,0,0.580527208,-0.059861316
CHEMBL2087982,0.0,1,4,0.018094315,-0.486673331,1,5.316788604,0,0.565235256,-0.022888577
CHEMBL1272078,0.0,0,0,0.021344086,-0.494385526,1,15.53348694,0,0.5905383129999999,-0.269750909
CHEMBL1271524,0.0,0,0,0.024920635,-0.5919797929999999,1,26.16706415,0,0.48847624,0.104376849
CHEMBL2088219,0.0,1,4,0.018423913,-0.616880682,1,11.05045608,0,0.580527208,-0.09881335
CHEMBL2087984,0.0,1,4,0.015510336,-0.51641808,1,5.316788604,0,0.565235256,-0.080300829
CHEMBL565814,0.0,0,3,0.021086745,-0.496359486,0,15.53348694,0,0.591352505,0.121828523
CHEMBL333798,0.0,0,2,0.023805556,-0.378383347,0,0.0,0,0.519874335,0.24201043
CHEMBL567706,2.981528903,0,3,0.019186508,-0.149921117,0,4.899909731,0,0.404811503,-0.089932888
CHEMBL121795,0.0,0,3,0.017208995,-0.13387489800000002,0,0.0,0,0.606644456,0.199920497
CHEMBL585109,0.0,0,3,0.018807471,-0.492704095,0,15.53348694,0,0.591352505,0.043820913
CHEMBL118339,0.0,0,2,0.017589868999999998,-0.098268934,0,0.0,0,0.519874335,0.121012046
CHEMBL1829511,2.950959457,0,4,0.018299458,-0.301862724,0,9.636772685,0,0.404811503,-0.126852066
CHEMBL1765730,2.93758028,1,2,0.029793907,-0.675964481,1,16.36724469,0,0.451723905,-0.016597478
CHEMBL1765876,2.901779097,1,2,0.020833333,-0.7008935279999999,1,16.78412356,0,0.470452644,-0.17344225300000002
CHEMBL594371,0.0,0,2,0.024980159,-0.243647711,0,0.0,0,0.501232212,0.185030291
CHEMBL595556,0.0,0,2,0.024666667000000003,-0.253634987,0,0.0,0,0.501232212,0.180097285
CHEMBL1765761,2.8941576380000003,1,2,0.029513889,-0.7223530659999999,1,16.78412356,0,0.368390572,-0.028829237
CHEMBL1835629,0.0,1,4,0.022608932,-0.376772095,1,14.79051451,0,0.55274943,0.000607223
CHEMBL1835521,0.0,1,4,0.023376068,-0.523585744,1,5.316788604,0,0.568041382,-0.298085971
CHEMBL593725,0.0,0,3,0.024502924,-0.239653294,0,0.0,0,0.5199609510000001,0.165603172
CHEMBL1835622,0.0,1,4,0.021873522000000003,-0.4282718,1,5.316788604,0,0.55274943,0.0913628
CHEMBL2087978,0.0,1,4,0.018525132,-0.519604854,1,5.316788604,0,0.580527208,-0.150183473
CHEMBL2087979,0.0,1,4,0.018525132,-0.526257789,1,5.316788604,0,0.580527208,-0.036163756
CHEMBL2087965,0.0,1,4,0.016266938,-0.512130437,1,5.316788604,0,0.5992559470000001,-0.051326159
CHEMBL1766455,0.0,0,3,0.015561343,-0.282103688,0,5.316788604,0,0.515922614,0.073898301
CHEMBL1824444,0.0,0,3,0.022580128,-0.496053375,0,11.05045608,0,0.497193875,0.16265015
CHEMBL2088213,0.0,1,4,0.015510336,-0.5408634139999999,1,5.316788604,0,0.565235256,-0.051121824
CHEMBL226734,3.3685510360000004,0,2,0.016578283,-0.5624663560000001,1,19.77449303,0,0.580527208,-0.21239222
CHEMBL2385586,2.829496039,1,3,0.020078125,-0.183400898,1,10.21669833,0,0.52840844,0.106858546
CHEMBL1808264,0.0,0,3,0.023985185,-0.519432719,0,14.95356129,0,0.571478169,-0.239181539
CHEMBL2385596,0.0,1,3,0.022074074,-0.18124739,1,9.799819462,0,0.577721083,0.08688885800000001
CHEMBL3260905,3.4679325710000004,1,4,0.019809671,-0.42517231,1,15.20067686,0,0.565235256,-0.135220414
CHEMBL3260573,3.451177721,1,4,0.019103535,-0.43884276,1,15.03763008,0,0.580527208,0.099353236
CHEMBL3260578,3.387030187,1,4,0.019631643,-0.567142169,1,16.034434599999994,0,0.580527208,0.02100391
CHEMBL3260584,3.4691293460000003,1,4,0.01587963,-0.477640009,1,10.30076712,0,0.580527208,0.043815952000000005
CHEMBL3260586,3.491891692,1,4,0.018423913,-0.4825104770000001,1,10.30076712,0,0.580527208,0.061801595999999986
CHEMBL3260614,3.272393707,1,4,0.018094315,-0.453459469,1,10.30076712,0,0.565235256,0.195260496
CHEMBL2088220,0.0,1,4,0.02052399,-0.6177981370000001,1,11.05045608,0,0.580527208,-0.09881335
CHEMBL2088217,0.0,1,4,0.018031915,-0.417454668,1,14.79051451,0,0.565235256,-0.03525477
CHEMBL2088221,0.0,1,4,0.016266938,-0.5096829589999999,1,5.316788604,0,0.5992559470000001,-0.189357834
CHEMBL2087983,0.0,1,4,0.016802326,-0.493959308,1,5.316788604,0,0.565235256,0.06743358
CHEMBL182678,0.0,0,3,0.019976852,-0.592753801,0,5.733667477000001,0,0.442044204,0.167231394
CHEMBL1957653,3.37710223,0,2,0.019427083,-0.510259793,1,20.19137191,0,0.5997530529999999,0.127640194
CHEMBL1835627,0.0,1,4,0.021873522000000003,-0.450356662,1,5.316788604,0,0.55274943,-0.118634245
CHEMBL1835625,0.0,1,4,0.021873522000000003,-0.465198365,1,5.316788604,0,0.55274943,-0.0043526070000000005
CHEMBL1824440,0.0,0,3,0.019958629,-0.296897301,0,5.316788604,0,0.515922614,0.119945898
CHEMBL2435034,0.0,0,2,0.022691358,-0.53047808,1,14.79051451,0,0.580527208,0.017696658
CHEMBL3634801,3.359970868,1,4,0.018679012,-0.475728738,1,10.30076712,0,0.565235256,0.121527132
CHEMBL3634710,3.212084042,1,4,0.018390152,-0.47623177,1,10.30076712,0,0.565235256,0.053263346
CHEMBL3634705,3.15236182,1,4,0.02227657,-0.466193216,1,10.30076712,0,0.565235256,0.08800399099999999
CHEMBL3261083,3.338869835,1,4,0.019103535,-0.5498432670000001,1,10.30076712,0,0.5992559470000001,0.039128199
CHEMBL3260565,3.496180792,1,4,0.016266938,-0.455230021,1,4.983978521,0,0.5992559470000001,-0.018124704
CHEMBL3260588,3.296123945,1,4,0.019311111,-0.645315978,1,15.03763008,0,0.580527208,0.012090813999999998
CHEMBL3260595,3.411436445,1,4,0.018234954,-0.510684013,1,15.03763008,0,0.580527208,0.037871111
CHEMBL3260600,3.456636039,1,4,0.017202381,-0.487790119,1,10.30076712,0,0.580527208,0.112460327
CHEMBL3260617,3.448528282,1,4,0.018813657,-0.407091719,1,19.77449303,0,0.565235256,0.102581797
CHEMBL3260564,3.392014125,1,4,0.016266938,-0.430355337,1,9.720841475,0,0.5992559470000001,0.096757319
CHEMBL1824436,0.0,0,3,0.022085954,-0.369992146,0,5.316788604,0,0.497193875,0.221314604
CHEMBL2385579,2.825589789,1,3,0.020078125,-0.159097391,1,9.636772685,0,0.52840844,0.050385055
CHEMBL3260618,3.3726787289999995,1,4,0.018813657,-0.445399717,1,10.30076712,0,0.565235256,0.065753878
CHEMBL3260900,3.44506787,1,4,0.019636752,-0.419005939,1,15.20067686,0,0.565235256,0.003982174000000001
CHEMBL3260615,3.412522676,1,4,0.018094315,-0.4838493370000001,1,10.30076712,0,0.565235256,0.107132878
CHEMBL261762,0.0,0,3,0.019038889,-0.203740557,0,4.736862953999999,0,0.591352505,0.26889838
CHEMBL411741,0.0,0,3,0.017071256,-0.189029356,0,0.0,0,0.572623765,0.26137306
CHEMBL1835630,0.0,1,4,0.022803983,-0.363671802,1,14.79051451,0,0.55274943,0.000603696
CHEMBL1835621,0.0,1,4,0.022873563,-0.650360245,1,10.05365156,0,0.568041382,-0.073490106
CHEMBL3260627,3.378489386,1,4,0.02228588,-0.430073613,1,15.20067686,0,0.565235256,0.036070608
CHEMBL1766454,0.0,0,3,0.022233333,-0.303383008,0,5.316788604,0,0.497193875,0.000613586
CHEMBL4279935,0.0,0,3,0.0291875,-0.143806973,0,0.0,0,0.668554103,-0.16942196699999998
CHEMBL4277446,0.0,0,2,0.031185637,-0.386069783,0,5.106527395,1,0.6498253629999999,-0.218005602
CHEMBL3260582,3.436143235,1,4,0.01587963,-0.486116823,1,10.30076712,0,0.580527208,0.104553216
CHEMBL3260611,3.4191427560000003,1,4,0.020235507,-0.51383803,1,15.03763008,0,0.580527208,0.037871111
CHEMBL3260580,3.427411502,1,4,0.019033333,-0.552294678,1,15.61755573,0,0.580527208,0.16999566800000002
CHEMBL3260610,3.430010524,1,4,0.02052399,-0.473621369,1,10.30076712,0,0.580527208,0.110392038
CHEMBL1766440,0.0,0,3,0.019958629,-0.365062041,0,5.316788604,0,0.515922614,0.156490673
CHEMBL3261096,0.0,1,4,0.022071759,-0.326087495,1,5.316788604,0,0.580527208,-0.035547949
CHEMBL3260571,3.491994048,1,4,0.019103535,-0.481749169,1,10.30076712,0,0.580527208,0.08940548300000001
CHEMBL3260575,3.485191327,1,4,0.019103535,-0.478851555,1,10.30076712,0,0.580527208,0.08776588199999999
CHEMBL3260581,3.3753793460000003,1,4,0.01587963,-0.482091206,1,10.30076712,0,0.580527208,0.064650533
CHEMBL3260601,3.465895298,1,4,0.017202381,-0.477825808,1,10.30076712,0,0.580527208,0.043815952000000005
CHEMBL3260608,3.410010524,1,4,0.02052399,-0.577750268,1,16.034434599999994,0,0.580527208,0.040712918
CHEMBL3260589,3.477906352,1,4,0.016578283,-0.475315554,1,10.30076712,0,0.580527208,0.115822016
CHEMBL3260590,3.462956507,1,4,0.016578283,-0.477260156,1,10.30076712,0,0.580527208,0.113403054
CHEMBL1766450,0.0,0,3,0.015561343,-0.362222339,0,5.316788604,0,0.515922614,0.092769878
CHEMBL3260621,3.480510519,1,4,0.016802326,-0.479963407,1,10.30076712,0,0.565235256,0.04301022
CHEMBL3260628,3.390129047,1,4,0.020144444,-0.434366461,1,15.20067686,0,0.565235256,-0.08456199199999999
CHEMBL2024690,2.599100867,0,3,0.020601852,-0.535352745,0,4.983978521,0,0.35549886,-0.001621831
CHEMBL406407,0.0,0,3,0.019408213,-0.21985478,0,0.0,0,0.59415863,0.20932672
CHEMBL411855,0.0,0,3,0.018318182,-0.17948401,0,9.636772685,0,0.591352505,0.07316513
CHEMBL410308,0.0,0,3,0.020018832,-0.35010646799999995,0,10.21669833,0,0.572623765,0.133321806
CHEMBL1688215,2.862951625,1,2,0.028240741,-0.700950702,1,11.46733495,0,0.383682523,-0.12525705
CHEMBL593710,0.0,0,2,0.02447601,-0.232167627,0,0.0,0,0.501232212,0.179595119
CHEMBL1824438,0.0,0,3,0.015561343,-0.358217304,0,5.316788604,0,0.515922614,0.156914705
